
title,price,units,rate,url
"Быкова, Поспелова: Английский язык. 2 класс. Сборник упражнений. ФГОС",366,₽,0.00,https://www.labirint.ru/books/925229/
Ольга Крылова: Чтение. 2 класс. Работа с текстом. ФГОС,234,₽,9.45,https://www.labirint.ru/books/529372/
География. 9 класс. Контурные карты. ФГОС,134,₽,10.00,https://www.labirint.ru/books/933068/
Stephen King: Holly,4087,₽,4.00,https://www.labirint.ru/books/987731/
Martin George R. R.: Fire and Blood. 300 Years Before A Game of Thrones,2101,₽,9.67,https://www.labirint.ru/books/778598/
Robert Galbraith: The Running Grave,4265,₽,10.00,https://www.labirint.ru/books/987800/
ОГЭ-2025 Английский язык + аудиоприложение,413,₽,0.00,https://www.labirint.ru/books/1016435/
ОГЭ-2025 Химия,378,₽,0.00,https://www.labirint.ru/books/1016428/
ОГЭ-2025 Физика,389,₽,0.00,https://www.labirint.ru/books/1016427/
ОГЭ-2025 Математика,413,₽,0.00,https://www.labirint.ru/books/1016426/
ЕГЭ-2025 Английский язык + аудиоприложение,496,₽,0.00,https://www.labirint.ru/books/1016424/
ЕГЭ-2025 Информатика + электронное приложение,460,₽,0.00,https://www.labirint.ru/books/1016423/
ЕГЭ-2025 Литература,260,₽,0.00,https://www.labirint.ru/books/1016422/
ЕГЭ-2025 Обществознание,330,₽,0.00,https://www.labirint.ru/books/1016421/
ЕГЭ-2025 Биология,460,₽,0.00,https://www.labirint.ru/books/1016419/
ЕГЭ-2025 География,272,₽,0.00,https://www.labirint.ru/books/1016418/
ЕГЭ-2025 Химия,484,₽,0.00,https://www.labirint.ru/books/1016417/
ЕГЭ-2025 Русский язык,508,₽,0.00,https://www.labirint.ru/books/1016413/
ЕГЭ-2025 Физика,472,₽,0.00,https://www.labirint.ru/books/1016416/
"Мордкович, Александрова, Семенов: Алгебра. Вероятность и статистика. 7 класс. Базовый уровень. Учебное пособие. В 2-х частях. ФГОС",2210,₽,0.00,https://www.labirint.ru/books/1013016/
"Цирулик, Хлебникова, Нагель: Технология. 4 класс. Учебное пособие. ФГОС",1324,₽,0.00,https://www.labirint.ru/books/1004379/
"Мордкович, Александрова, Семенов: Алгебра. Вероятность и статистика. 7 класс. Базовый уровень. Учебное пособие. В 2-х частях. ФГОС",2210,₽,0.00,https://www.labirint.ru/books/1013015/
"Дмитриева, Казаков: Окружающий мир. 4 класс. Учебное пособие. В 2-х частях. ФГОС",2648,₽,0.00,https://www.labirint.ru/books/1004371/
"Дмитриева, Казаков: Окружающий мир. 4 класс. Учебное пособие. В 2-х частях. ФГОС",2648,₽,0.00,https://www.labirint.ru/books/1004370/
Виктория Свиридова: Литературное чтение. 4 класс. Учебное пособие. В 2-х частях. ФГОС,2648,₽,0.00,https://www.labirint.ru/books/1003494/
Геометрия. 9 класс. Контрольно-измерительные материалы. ФГОС,165,₽,0.00,https://www.labirint.ru/books/1016284/
Английский язык. 4 класс. Грамматический тренажер. ФГОС,207,₽,0.00,https://www.labirint.ru/books/1016282/
Олимпиадные и развивающие задания. 3-4 классы. ФГОС,438,₽,0.00,https://www.labirint.ru/books/1016281/
Русский язык. 1 класс. Контрольно-измерительные материалы. ФГОС,186,₽,0.00,https://www.labirint.ru/books/1016280/
"Светлана Кутявина: Литературное чтение. 2 класс. Поурочные разработки к УМК Л. Ф. Климановой ""Школа России"". ФГОС",548,₽,0.00,https://www.labirint.ru/books/1015991/
"Таблица Менделеева. Таблица растворимости, А6",22,₽,0.00,https://www.labirint.ru/books/1015980/
Литературное чтение. 1 класс. Контрольно-измерительные материалы. ФГОС,186,₽,0.00,https://www.labirint.ru/books/1015990/
Русский родной язык. 3 класс. Рабочая тетрадь к учебнику О.М. Александровой и др. ФГОС,207,₽,0.00,https://www.labirint.ru/books/1015820/
Ольга Жиренко: Русский язык. 1 класс. Тренажёр для подготовки к ВПР. ФГОС,207,₽,0.00,https://www.labirint.ru/books/1015817/
Татьяна Воронина: Прописи к Азбуке В.Г. Горецкого и др. 1 класс. В 4-х частях. ФГОС,482,₽,0.00,https://www.labirint.ru/books/1015816/
Окружающий мир. 4 класс. Разноуровневые задания к учебнику А.А. Плешакова. ФГОС,219,₽,0.00,https://www.labirint.ru/books/1015815/
Химия. 8 класс. Контрольно-измерительные материалы. ФГОС,165,₽,0.00,https://www.labirint.ru/books/1015813/
Математика. Алгебра. 8 класс. Контрольно-измерительные материалы. ФГОС,165,₽,0.00,https://www.labirint.ru/books/1015812/
ВПР. Русский язык. 4 класс. ФГОС,219,₽,0.00,https://www.labirint.ru/books/1015811/
Наталья Песняева: Русский язык. Языковая грамотность. 2 класс. Тетрадь-тренажёр. ФГОС,219,₽,0.00,https://www.labirint.ru/books/1015616/
ВПР. Окружающий мир. 4 класс. ФГОС,219,₽,0.00,https://www.labirint.ru/books/1015810/
Русский язык. 2 класс. Контрольно-измерительные материалы. ФГОС,186,₽,0.00,https://www.labirint.ru/books/1015615/
Литературное чтение. 2 класс. Контрольно-измерительные материалы. ФГОС,186,₽,0.00,https://www.labirint.ru/books/1015614/
Людмила Петерсон: Математика. 2 класс. Углубленный уровень. Учебное пособие. В 3-х частях. ФГОС,2519,₽,0.00,https://www.labirint.ru/books/1012968/
Аркадий Мерзляк: Алгебра. 9 класс. Учебное пособие. Базовый уровень. ФГОС,1047,₽,0.00,https://www.labirint.ru/books/1008351/
Питер Карнавас: Птицы поют даже в хмурые дни,460,₽,10.00,https://www.labirint.ru/books/874254/
"Биболетова, Денисенко, Трубанева: Английский язык. 4 класс. Рабочая тетрадь. ФГОС",391,₽,0.00,https://www.labirint.ru/books/1000758/
Хелен Докерти: Если б мне читали книжки!,460,₽,10.00,https://www.labirint.ru/books/874048/
Наталья Карпова: Рядом с нами - чудеса!,460,₽,10.00,https://www.labirint.ru/books/874023/
Наталья Карпова: Про Бабку Ёжку и всех понемножку,460,₽,10.00,https://www.labirint.ru/books/874022/
Наталья Карпова: От букашки до слона,467,₽,9.83,https://www.labirint.ru/books/874020/
Наталья Карпова: Жили-были дети...,460,₽,10.00,https://www.labirint.ru/books/874011/
Леонид Кирик: Физика. 8 класс. Разноуровневые самостоятельные и контрольные работы. ФГОС,209,₽,9.12,https://www.labirint.ru/books/203239/
"Желтовская, Калинина: Русский язык. 4 класс. Учебное пособие. В 2-х частях. ФГОС",1893,₽,0.00,https://www.labirint.ru/books/924053/
"Желтовская, Калинина: Русский язык. 4 класс. Учебное пособие. В 2-х частях. ФГОС",1893,₽,0.00,https://www.labirint.ru/books/924054/
"Матвеева, Челак, Конопатова: Информатика. 3 класс. Учебник. В 2-х частях. Часть 2. ФГОС",773,₽,0.00,https://www.labirint.ru/books/854150/
"Архангельский, Смирнова: Литература. 7 класс. Учебник. В 2-х частях. ФГОС",1894,₽,10.00,https://www.labirint.ru/books/751757/
"Матвеева, Челак, Конопатова: Информатика. 3 класс. Учебник. В 2-х частях. Часть 1. ФГОС",773,₽,0.00,https://www.labirint.ru/books/853903/
"Архангельский, Смирнова: Литература. 7 класс. Учебник. В 2-х частях. ФГОС",1894,₽,10.00,https://www.labirint.ru/books/751756/
Сергей Зеленко: Учимся у Магеллана. Головоломки для юных путешественников.1-4 классы,182,₽,0.00,https://www.labirint.ru/books/1016467/
"Григорьева, Горбачева, Лисенко: Французский язык. Второй иностранный язык. 10 класс. Базовый уровень. Учебник. ФГОС",1488,₽,0.00,https://www.labirint.ru/books/690134/
Анна Королева: Графические диктанты. Снежинки и звезды,187,₽,0.00,https://www.labirint.ru/books/1016466/
Зиновий Каневский: Это было в полярных широтах. Спасательные операции в Арктике и Антарктике,526,₽,0.00,https://www.labirint.ru/books/1016455/
"Андрей Зобнин: Экспедиция Седова. Пропавшая могила и исчезнувший ""Фока""",526,₽,0.00,https://www.labirint.ru/books/1016454/
"Эзо Сунал: Черепашка, которая никак не могла уснуть",361,₽,0.00,https://www.labirint.ru/books/1016453/
"Эзо Сунал: Крабик, который вырос из своей ракушки",361,₽,0.00,https://www.labirint.ru/books/1016452/
"Эзо Сунал: Котенок, который проголодался",361,₽,0.00,https://www.labirint.ru/books/1016451/
"Эзо Сунал: Кенгуру, которые всегда готовы прийти на помощь",361,₽,0.00,https://www.labirint.ru/books/1016450/
Марк Твен: Приключения Гекльберри Финна,597,₽,0.00,https://www.labirint.ru/books/1016449/
Валентин Пикуль: Богатство. Миниатюры,732,₽,0.00,https://www.labirint.ru/books/1016447/
Валентин Пикуль: Богатство. Миниатюры,732,₽,0.00,https://www.labirint.ru/books/1016446/
Генри Хаггард: Она. Айша,732,₽,10.00,https://www.labirint.ru/books/1016445/
Владимир Ераносян: Черный город,330,₽,0.00,https://www.labirint.ru/books/1016444/
Александр Бушков: Тени в темных углах. Зачарованное озеро,1121,₽,10.00,https://www.labirint.ru/books/1015797/
Наталия Нарочницкая: Украинский рубеж. История и геополитика,808,₽,10.00,https://www.labirint.ru/books/1016443/
Досье «Провиденс». К вопросу о генезисе лавкрафтианских химер,825,₽,10.00,https://www.labirint.ru/books/1015548/
Мари Ви: Лис из клана серебра,827,₽,10.00,https://www.labirint.ru/books/1015511/
"Хлевнюк, Иванова, Иващенко: Формирование вычислительных навыков на уроках математики. 5-9 классы",433,₽,8.88,https://www.labirint.ru/books/251301/
"Семенов, Рудченко: Информатика. 2 класс. Рабочая тетрадь. ФГОС",324,₽,0.00,https://www.labirint.ru/books/798923/
"Лещинер, Путимцева: ОГЭ 2025. Информатика + электронное приложение. Готовимся к итоговой аттестации. ФГОС",413,₽,0.00,https://www.labirint.ru/books/1016434/
Елена Ерохина: ОГЭ 2025. Литература.Готовимся к итоговой аттестации. Учебное пособие,248,₽,0.00,https://www.labirint.ru/books/1016433/
"Безносов, Орлова, Кирьянова-Греф: ОГЭ 2025. История. Готовимся к итоговой аттестации. Учебное пособие",330,₽,0.00,https://www.labirint.ru/books/1016431/
Павел Скворцов: ОГЭ 2025. Биология. Готовимся к итоговой аттестации. ФГОС,330,₽,0.00,https://www.labirint.ru/books/1016430/
Вадим Барабанов: ОГЭ 2025. География. Готовимся к итоговой аттестации. ФГОС,307,₽,0.00,https://www.labirint.ru/books/1016429/
Алексей Ручкин: ЕГЭ 2025. История. Готовимся к итоговой аттестации. ФГОС,389,₽,0.00,https://www.labirint.ru/books/1016420/
Т. Сиротина: Геометрия. 9 класс. Тетрадь-тренажер,330,₽,0.00,https://www.labirint.ru/books/1016002/
"Елена Волкова: Я готовлюсь стать учеником. Вместе слушаем, произносим и читаем",201,₽,0.00,https://www.labirint.ru/books/1015510/
